last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Roark, Tanner,R,86.7,96.6,,,,50.1,92.4
Cease, Dylan,R,86.7,,,82.6,,34.3,91.5
Peterson, David,L,86.7,96.3,,94.1,,30.9,
Ryu, Hyun Jin,L,86.6,100,38.2,83.5,,,85.2
Ryan, Joe,R,86.5,,,95.3,,21.4,76.9
May, Dustin,R,86.5,97.6,21.9,,,,68.6
Núñez, Darien,L,86.4,,,79.7,,,
McHugh, Collin,R,86.4,,32.3,,,79.8,86.1
May, Trevor,R,86.3,,,90,,34.8,
Rucker, Michael,R,86.2,,26.6,77.9,,31,85.6
Knight, Dusten,R,86.1,,,77.4,,,75.4
Shoemaker, Matt,R,86.1,91.6,,,,22.9,
Morton, Charlie,R,86.1,93.2,20.6,91.8,,,86.7
Karinchak, James,R,86.1,,,,,,48.6
Garcia, Luis,R,86,,34.3,91.2,,75.1,68.8
Sceroler, Mac,R,86,,,,,24.2,84.4
Hatch, Thomas,R,86,92.7,26.7,52.9,,,
Lorenzen, Michael,R,86,92.3,30.7,85.5,,56.7,
Happ, J.A.,L,85.9,78.7,,90.2,,20.8,40.4
Alzolay, Adbert,R,85.8,92.8,32.6,89.3,,36,34.7
Loáisiga, Jonathan,R,85.8,93.2,,96.5,,44.4,55.6
Flexen, Chris,R,85.8,,37.8,87.7,,,72.5
Kuhl, Chad,R,85.7,94.6,,85.6,,21.8,70.1
Patiño, Luis,R,85.7,78.9,,93.3,,46.3,50.7
Workman, Brandon,R,85.6,,27.6,,,,82.2
Skubal, Tarik,L,85.6,97,,81.2,,19.3,79.5
King, Michael,R,85.6,92,,90.6,,31.6,77.2
Pagán, Emilio,R,85.5,,19.2,,,,
Crochet, Garrett,L,85.5,,,91.5,,62.3,
Brubaker, JT,R,85.5,91.1,,88.5,,13.3,53.3
Chafin, Andrew,L,85.5,94,,,,18.9,
McGowin, Kyle,R,85.4,89.2,,,,43.7,
Garrett, Braxton,L,85.3,86.8,,97.5,,37.5,72.6
Chapman, Aroldis,L,85.3,97.1,,,,62.2,
Sanmartin, Reiver,L,85.3,88,,85.2,,23.8,
Floro, Dylan,R,85.3,94.6,,87.9,,30.3,
Payamps, Joel,R,85.2,91.8,,83.7,,44.9,
Matzek, Tyler,L,85.1,,,,,48.6,78.4
Neris, Héctor,R,85.1,94.7,,,,24.6,
Foley, Jason,R,85.1,93.2,,,,22.7,
Montas, Frankie,R,85.1,96.4,35,,,32.8,
Machado, Andres,R,85.1,94.2,,73.1,,30.3,
Minaya, Juan,R,85.1,,,73.9,,21.7,
Soria, Joakim,R,85,,,70.8,,77.4,100
LeBlanc, Wade,L,85,92.9,46.8,86.5,,,68.2
Gilbert, Tyler,L,84.9,95.2,46.5,,,,72.6
Cisnero, José,R,84.9,95.6,,95.5,,30.6,
Kershaw, Clayton,L,84.8,,,,,39,79.9
Barnes, Jacob,R,84.8,,40.5,81.7,,,
Reid-Foley, Sean,R,84.8,,,73.1,,34.6,
Smith, Burch,R,84.7,,,88.2,,,85.2
Jackson, Jay,R,84.7,,,,,34.6,
Cahill, Trevor,R,84.7,91.4,24.2,78.3,,,68.8
Misiewicz, Anthony,L,84.6,,31.8,,,,64.2
Curtiss, John,R,84.6,,,,,21.9,
Rogers, Trevor,L,84.6,,,84.6,,18.2,
Reyes, Alex,R,84.5,92.9,,85.3,,41.7,100
Farrell, Luke,R,84.5,,,,,23,82.7
Houser, Adrian,R,84.4,90.5,,86.5,,33.3,81.1
Petit, Yusmeiro,R,84.4,,75.2,89,,,50.3
De Jong, Chase,R,84.4,,,83.2,,21.2,72
