last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Magill, Matt,R,94.8,,,,,31.6,36.4
Roark, Tanner,R,94.8,92.5,,81.9,,45.2,90.4
Tepera, Ryan,R,94.8,97.2,40.9,88.9,,34.7,
Cole, A.J.,R,94.7,,69.7,96.4,,32.3,31.4
Rodón, Carlos,L,94.7,,,99.7,,29.8,
Means, John,L,94.7,,,99,,34.6,69.2
Allard, Kolby,L,94.7,,47.2,98.6,,,76.9
Goody, Nick,R,94.7,,,,,24.2,
Hernandez, Elieser,R,94.6,,,84.7,,51.7,
Stiever, Jonathan,R,94.5,,,93.1,,34.7,60
Ginkel, Kevin,R,94.5,,,,,27.5,
Waguespack, Jacob,R,94.4,93.5,70.3,91.7,,,61.1
Mejía, Humberto,R,94.4,,,95.1,,39.5,52.3
Lorenzen, Michael,R,94.3,92.6,52,98.9,,32.4,83.7
Kimbrel, Craig,R,94.3,,,,,,68.4
Rodríguez, Joely,L,94.2,93.7,,99.2,,,
Jiménez, Joe,R,94.2,,,89.2,,29.9,
Alcala, Jorge,R,94.1,,,94,,33.8,
Sandoval, Patrick,L,94.1,,,96.4,,32.6,63.6
Chavez, Jesse,R,94,95.1,68.3,97.2,,30.6,
Kennedy, Ian,R,93.9,,61.4,98.9,,,73.6
Misiewicz, Anthony,L,93.9,,49.8,,,,51.9
Rondón, Héctor,R,93.9,94.7,,90.3,,28.1,
Rogers, Trevor,L,93.9,96,,91.2,,17.3,
Lugo, Seth,R,93.9,92.9,,97.5,,44.6,88.5
De Jong, Chase,R,93.9,,,99.3,,20.1,75.2
Bauer, Trevor,R,93.8,,33.7,,,64.7,97.9
Morejon, Adrian,L,93.8,,,92.3,,48.9,72.5
Smith, Burch,R,93.8,,,97.7,,,83.8
Grimm, Justin,R,93.8,,,,,75.2,91.4
Anderson, Brett,L,93.7,95,64.2,96.5,,44.5,72.5
Ureña, José,R,93.7,91,,97.9,,23.6,
Workman, Brandon,R,93.7,,40.2,,,,84.6
Gsellman, Robert,R,93.7,96.2,,97.9,,51.1,69
Coonrod, Sam,R,93.6,90.4,41.7,91.9,,31,
Martin, Chris,R,93.5,,52.8,,,64.9,
Bednar, David,R,93.5,,,,,,76.4
Reid-Foley, Sean,R,93.4,,,,,34,
Parker, Blake,R,93.4,,,,,,70.9
Rasmussen, Drew,R,93.3,,,97.1,,31.5,71.7
Alzolay, Adbert,R,93.3,94.3,,92.3,,36.8,52.5
Trivino, Lou,R,93.2,91.6,47.4,98.3,,,77
Tomlin, Josh,R,93.2,,54,98.5,,,47.4
Brault, Steven,L,93.1,91.9,,84.7,,36.4,67
Wick, Rowan,R,93.1,,71.4,,,,91.3
Rodriguez, Nivaldo,R,93,,,,,36.1,51.5
Font, Wilmer,R,93,94.2,,,,35.2,80.6
Tate, Dillon,R,93,92.5,27,99.1,,,
Garrett, Amir,L,93,,,,,24.2,
Newsome, Ljay,R,93,,,73.9,,,37.2
Margevicius, Nick,L,93,,,82.8,,46,88.7
Brice, Austin,R,92.9,96.1,,,,,43.1
Brasier, Ryan,R,92.9,93.6,,93.6,,35.8,
Rosenthal, Trevor,R,92.9,95.4,,98.9,,37,
Gibaut, Ian,R,92.8,,,96.2,,39.1,
Cortes, Nestor,L,92.8,,,,,35,
Javier, Cristian,R,92.8,,,98.5,,48.8,75.2
Morgan, Adam,L,92.8,89,,95.8,,28,
Minter, A.J.,L,92.8,,26.5,91.2,,,
Stripling, Ross,R,92.7,,,90.7,,34.9,81.7
Snell, Blake,L,92.7,,,98.4,,31.4,69.6
Burdi, Zack,R,92.7,98.3,,99.5,,22.3,
Plutko, Adam,R,92.7,,57.2,98.8,,40.4,71.9
Floro, Dylan,R,92.7,93.6,,94,,42.2,
Stock, Robert,R,92.7,,,94.6,,39.9,
Chirinos, Yonny,R,92.6,95,,,,43,
DeSclafani, Anthony,R,92.6,90.3,,98.6,,35.2,82.9
Funkhouser, Kyle,R,92.4,89,,89.2,,31.2,
Leyer, Robinson,R,92.3,,,,,37.8,
May, Dustin,R,92.2,94.4,37.5,94.5,,,61.8
Sánchez, Aníbal,R,92.1,92.9,74.6,88.5,,,37.8
Erlin, Robbie,L,92.1,,,94.4,,,82
Buehler, Walker,R,92,89.8,48.5,,,45,81.7
Guerra, Junior,R,92,92.8,,,,,53
Petit, Yusmeiro,R,91.9,,78.2,95.1,,,53.3
Mize, Casey,R,91.8,95.4,31.9,,,,81.5
Garcia, Luis,R,91.8,,37.6,95.9,,59.1,89.9
Feyereisen, J.P.,R,91.8,,,86,,36.5,
Hendricks, Kyle,R,91.7,83.4,,82.1,,,85.1
Dunn, Justin,R,91.7,,,96.1,,39.3,52.6
